LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;427.000;9.000;3.000;29.000;0.360;0.334
2;444.000;8.000;4.000;12.000;0.500;0.483
3;449.000;4.000;8.000;7.000;0.348;0.331
4;449.000;4.000;8.000;7.000;0.348;0.331
5;451.000;2.000;8.000;5.000;0.235;0.222
6;453.000;5.000;7.000;3.000;0.500;0.490
7;426.000;10.000;2.000;30.000;0.385;0.359
8;434.000;7.000;5.000;22.000;0.341;0.317
9;450.000;5.000;7.000;6.000;0.435;0.421
10;436.000;5.000;5.000;20.000;0.286;0.263
11;453.000;5.000;7.000;3.000;0.500;0.490
12;414.000;9.000;3.000;42.000;0.286;0.255
13;436.000;9.000;3.000;20.000;0.439;0.418
14;418.000;10.000;2.000;38.000;0.333;0.305
15;444.000;6.000;4.000;12.000;0.429;0.412
16;407.000;11.000;1.000;49.000;0.306;0.275
17;432.000;8.000;4.000;24.000;0.364;0.339
18;436.000;7.000;5.000;20.000;0.359;0.335
19;451.000;4.000;8.000;5.000;0.381;0.367
20;434.000;5.000;5.000;22.000;0.270;0.247
21;440.000;6.000;6.000;16.000;0.353;0.331
22;450.000;5.000;7.000;6.000;0.435;0.421
23;431.000;9.000;3.000;25.000;0.391;0.367
24;431.000;7.000;5.000;25.000;0.318;0.292
25;429.000;5.000;5.000;27.000;0.238;0.212
max;453.000;11.000;8.000;49.000;0.500;0.490
avg;437.000;6.600;5.000;19.000;0.366;0.345
min;407.000;2.000;1.000;3.000;0.235;0.212
