LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
6;291.000;3.000;8.000;19.000;0.182;0.143
7;305.000;1.000;10.000;5.000;0.118;0.096
8;299.000;1.000;10.000;11.000;0.087;0.053
9;298.000;2.000;9.000;12.000;0.160;0.126
10;296.000;2.000;7.000;10.000;0.190;0.163
11;301.000;0.000;11.000;9.000;0.000;-0.032
12;295.000;1.000;10.000;15.000;0.074;0.035
13;295.000;1.000;10.000;15.000;0.074;0.035
14;304.000;2.000;9.000;6.000;0.211;0.187
15;296.000;1.000;8.000;10.000;0.100;0.071
16;299.000;0.000;11.000;11.000;0.000;-0.035
17;299.000;2.000;9.000;11.000;0.167;0.135
18;298.000;2.000;9.000;12.000;0.160;0.126
19;298.000;2.000;9.000;12.000;0.160;0.126
20;278.000;0.000;9.000;28.000;0.000;-0.045
21;303.000;1.000;10.000;7.000;0.105;0.079
22;290.000;2.000;9.000;20.000;0.121;0.079
23;293.000;4.000;7.000;17.000;0.250;0.215
24;297.000;3.000;8.000;13.000;0.222;0.189
25;291.000;0.000;9.000;15.000;0.000;-0.037
max;305.000;4.000;11.000;28.000;0.296;0.267
avg;296.520;1.520;9.080;12.680;0.122;0.088
min;278.000;0.000;7.000;5.000;0.000;-0.045
---
KNN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;261.000;1.000;10.000;49.000;0.033;-0.025
2;266.000;4.000;7.000;44.000;0.136;0.085
3;264.000;3.000;8.000;46.000;0.100;0.047
4;265.000;3.000;8.000;45.000;0.102;0.049
5;267.000;1.000;8.000;39.000;0.041;-0.006
6;268.000;1.000;10.000;42.000;0.037;-0.019
7;270.000;1.000;10.000;40.000;0.038;-0.016
8;263.000;1.000;10.000;47.000;0.034;-0.023
9;271.000;4.000;7.000;39.000;0.148;0.099
10;262.000;2.000;7.000;44.000;0.073;0.026
11;275.000;2.000;9.000;35.000;0.083;0.032
12;267.000;1.000;10.000;43.000;0.036;-0.020
13;263.000;3.000;8.000;47.000;0.098;0.045
14;273.000;2.000;9.000;37.000;0.080;0.028
15;258.000;2.000;7.000;48.000;0.068;0.020
16;272.000;0.000;11.000;38.000;0.000;-0.056
17;271.000;3.000;8.000;39.000;0.113;0.062
18;276.000;0.000;11.000;34.000;0.000;-0.055
19;266.000;2.000;9.000;44.000;0.070;0.016
20;248.000;1.000;8.000;58.000;0.029;-0.021
21;270.000;2.000;9.000;40.000;0.075;0.022
22;256.000;3.000;8.000;54.000;0.088;0.033
23;272.000;3.000;8.000;38.000;0.115;0.065
24;269.000;2.000;9.000;41.000;0.074;0.021
25;267.000;1.000;8.000;39.000;0.041;-0.006
max;276.000;4.000;11.000;58.000;0.148;0.099
avg;266.400;1.920;8.680;42.800;0.069;0.016
min;248.000;0.000;7.000;34.000;0.000;-0.056
