LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
min;212.000;1.000;5.000;58.000;0.020;-0.043
---
GAN
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;270.000;2.000;9.000;40.000;0.075;0.022
2;288.000;3.000;8.000;22.000;0.167;0.125
3;253.000;6.000;5.000;57.000;0.162;0.110
4;282.000;1.000;10.000;28.000;0.050;0.000
5;278.000;3.000;6.000;28.000;0.150;0.111
6;242.000;6.000;5.000;68.000;0.141;0.087
7;247.000;6.000;5.000;63.000;0.150;0.097
8;278.000;4.000;7.000;32.000;0.170;0.124
9;269.000;2.000;9.000;41.000;0.074;0.021
10;264.000;4.000;5.000;42.000;0.145;0.103
11;281.000;4.000;7.000;29.000;0.182;0.137
12;250.000;5.000;6.000;60.000;0.132;0.078
13;268.000;4.000;7.000;42.000;0.140;0.090
14;253.000;5.000;6.000;57.000;0.137;0.084
15;258.000;2.000;7.000;48.000;0.068;0.020
16;211.000;7.000;4.000;99.000;0.120;0.061
17;263.000;4.000;7.000;47.000;0.129;0.077
18;281.000;1.000;10.000;29.000;0.049;-0.001
19;261.000;6.000;5.000;49.000;0.182;0.132
20;264.000;1.000;8.000;42.000;0.038;-0.009
21;269.000;2.000;9.000;41.000;0.074;0.021
22;273.000;2.000;9.000;37.000;0.080;0.028
23;246.000;6.000;5.000;64.000;0.148;0.095
24;233.000;7.000;4.000;77.000;0.147;0.092
25;262.000;5.000;4.000;44.000;0.172;0.130
max;288.000;7.000;10.000;99.000;0.182;0.137
avg;261.760;3.920;6.680;47.440;0.123;0.073
min;211.000;1.000;4.000;22.000;0.038;-0.009
