LR
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score;average precision score
Nr.;TN;TP;FN;RF;f1 score;cohens kappa score
1;595.000;22.000;9.000;8.000;0.721;0.707
2;591.000;22.000;9.000;12.000;0.677;0.660
3;595.000;20.000;11.000;8.000;0.678;0.662
4;597.000;22.000;9.000;6.000;0.746;0.733
5;578.000;21.000;6.000;22.000;0.600;0.578
6;594.000;24.000;7.000;9.000;0.750;0.737
7;596.000;18.000;13.000;7.000;0.643;0.627
8;588.000;25.000;6.000;15.000;0.704;0.687
9;590.000;22.000;9.000;13.000;0.667;0.648
10;593.000;23.000;4.000;7.000;0.807;0.798
11;598.000;23.000;8.000;5.000;0.780;0.769
12;583.000;26.000;5.000;20.000;0.675;0.655
13;591.000;23.000;8.000;12.000;0.697;0.680
14;593.000;20.000;11.000;10.000;0.656;0.638
15;596.000;20.000;7.000;4.000;0.784;0.775
16;584.000;24.000;7.000;19.000;0.649;0.627
17;594.000;22.000;9.000;9.000;0.710;0.695
18;598.000;20.000;11.000;5.000;0.714;0.701
19;597.000;24.000;7.000;6.000;0.787;0.776
20;586.000;21.000;6.000;14.000;0.677;0.661
21;578.000;25.000;6.000;25.000;0.617;0.593
22;600.000;20.000;11.000;3.000;0.741;0.729
23;591.000;22.000;9.000;12.000;0.677;0.660
24;594.000;23.000;8.000;9.000;0.730;0.716
25;588.000;21.000;6.000;12.000;0.700;0.685
max;600.000;26.000;13.000;25.000;0.807;0.798
avg;591.520;22.120;8.080;10.880;0.703;0.688
min;578.000;18.000;4.000;3.000;0.600;0.578
